
å	åa	N;DEF;SG
a	a-ane	N;DEF;PL
A	Aane	N;DEF;PL
a	a-ar	N;NDEF;PL
A	Aar	N;NDEF;PL
å	åene	N;DEF;PL
a	a-en	N;DEF;SG
A	Aen	N;DEF;SG
å	åer	N;NDEF;PL
abakus	abakusane	N;DEF;PL
abakus	abakusar	N;NDEF;PL
abakus	abakusen	N;DEF;SG
abbed	abbedane	N;DEF;PL
abbed	abbedar	N;NDEF;PL
abbed	abbeden	N;DEF;SG
abdikasjon	abdikasjonane	N;DEF;PL
abdikasjon	abdikasjonar	N;NDEF;PL
abdikasjon	abdikasjonen	N;DEF;SG
aborigin	aboriginane	N;DEF;PL
aborigin	aboriginar	N;NDEF;PL
aborigin	aboriginen	N;DEF;SG
abort	abortane	N;DEF;PL
abort	abortar	N;NDEF;PL
abort	aborten	N;DEF;SG
abstrakt	abstrakt	ADJ;SG+PL
abstrakt	abstrakta	N;DEF;PL
abstrakt	abstraktet	N;DEF;SG
abstrakt	abstrakt	N;NDEF;PL
adamseple	adamsepla	N;DEF;PL
adamseple	adamseple	N;NDEF;PL
adamseple	adamseplet	N;DEF;SG
addisjon	addisjonane	N;DEF;PL
addisjon	addisjonar	N;NDEF;PL
addisjon	addisjonen	N;DEF;SG
adjektiv	adjektiva	N;DEF;PL
adjektiv	adjektivet	N;DEF;SG
adjektiv	adjektiv	N;NDEF;PL
administrasjon	administrasjonane	N;DEF;PL
administrasjon	administrasjonar	N;NDEF;PL
administrasjon	administrasjonen	N;DEF;SG
adressat	adressatane	N;DEF;PL
adressat	adressatar	N;NDEF;PL
adressat	adressaten	N;DEF;SG
adresse	adressa	N;DEF;SG
adresse	adressene	N;DEF;PL
adresse	adresser	N;NDEF;PL
advent	adventa	N;DEF;SG
advent	adventene	N;DEF;PL
advent	adventer	N;NDEF;PL
adventskalender	adventskalenderen	N;DEF;SG
adventskalender	adventskalendrane	N;DEF;PL
adventskalender	adventskalendrar	N;NDEF;PL
adverb	adverba	N;DEF;PL
adverb	adverbet	N;DEF;SG
adverb	adverb	N;NDEF;PL
advokat	advokatane	N;DEF;PL
advokat	advokatar	N;NDEF;PL
advokat	advokaten	N;DEF;SG
æra	æraane	N;DEF;PL
æra	æraar	N;NDEF;PL
æra	æraene	N;DEF;PL
æra	æraen	N;DEF;SG
æra	æraer	N;NDEF;PL
ære	æra	N;DEF;SG
ærleg	ærleg	ADJ;NDEF;SG
ærleg	ærlegare	ADJ;CMPR
ærleg	ærlegast	ADJ;NDEF;SPRL
ærleg	ærlegaste	ADJ;DEF;SPRL
ærleg	ærlege	N;DEF;SG+PL
ærlegdom	ærlegdomen	N;DEF;SG
ærlegdom	ærlegdommen	N;DEF;SG
aerodynamikk	aerodynamikken	N;DEF;SG
aerodynamisk	aerodynamisk	ADJ;NEUT;SG
aerodynamisk	aerodynamiske	N;DEF;SG+PL
aerosol	aerosolane	N;DEF;PL
aerosol	aerosolar	N;NDEF;PL
aerosol	aerosolen	N;DEF;SG
afar	afarane	N;DEF;PL
afar	afarar	N;NDEF;PL
afar	afaren	N;DEF;SG
afghanar	afghanarane	N;DEF;PL
afghanar	afghanarar	N;NDEF;PL
afghanar	afghanaren	N;DEF;SG
aforisme	aforismane	N;DEF;PL
aforisme	aforismar	N;NDEF;PL
aforisme	aforismen	N;DEF;SG
afrikanar	afrikanarane	N;DEF;PL
afrikanar	afrikanarar	N;NDEF;PL
afrikanar	afrikanaren	N;DEF;SG
afrikansk	afrikansk	ADJ;FEM
afrikansk	afrikansk	ADJ;MASC
afrikansk	afrikansk	ADJ;NEUT
afrikansk	afrikanske	N;DEF;SG+PL
aftan	aftanane	N;DEF;PL
aftan	aftanar	N;NDEF;PL
aftan	aftanen	N;DEF;SG
agenda	agendaane	N;DEF;PL
agenda	agendaar	N;NDEF;PL
agenda	agendaene	N;DEF;PL
agenda	agendaen	N;DEF;SG
agenda	agendaer	N;NDEF;PL
aggresjon	aggresjonane	N;DEF;PL
aggresjon	aggresjonar	N;NDEF;PL
aggresjon	aggresjonen	N;DEF;SG
agurk	agurkane	N;DEF;PL
agurk	agurkar	N;NDEF;PL
agurk	agurken	N;DEF;SG
akademi	akademia	N;DEF;PL
akademi	akademiet	N;DEF;SG
akademi	akademi	N;NDEF;PL
akademikar	akademikarane	N;DEF;PL
akademikar	akademikarar	N;NDEF;PL
akademikar	akademikaren	N;DEF;SG
åk	åka	N;DEF;PL
åk	åket	N;DEF;SG
åk	åk	N;NDEF;PL
åker	åkeren	N;DEF;SG
åker	åkrane	N;DEF;PL
åker	åkrar	N;NDEF;PL
akilleshæl	akilleshælane	N;DEF;PL
akilleshæl	akilleshælar	N;NDEF;PL
akilleshæl	akilleshælen	N;DEF;SG
akillessen	akillessena	N;DEF;SG
akillessen	akillessenene	N;DEF;PL
akillessen	akillessener	N;NDEF;PL
akillessene	akillessena	N;DEF;SG
akillessene	akillessenene	N;DEF;PL
akillessene	akillessener	N;NDEF;PL
akkar	akkarane	N;DEF;PL
akkar	akkarar	N;NDEF;PL
akkar	akkaren	N;DEF;SG
akkord	akkordane	N;DEF;PL
akkord	akkordar	N;NDEF;PL
akkord	akkorden	N;DEF;SG
åkle	åkla	N;DEF;PL
åkle	åkle	N;NDEF;PL
åkle	åklet	N;DEF;SG
akne	aknane	N;DEF;PL
akne	aknar	N;NDEF;PL
akne	aknen	N;DEF;SG
akrobat	akrobatane	N;DEF;PL
akrobat	akrobatar	N;NDEF;PL
akrobat	akrobaten	N;DEF;SG
akse	aksane	N;DEF;PL
akse	aksar	N;NDEF;PL
akse	aksen	N;DEF;SG
aksel	akselen	N;DEF;SG
aksel	akslane	N;DEF;PL
aksel	akslar	N;NDEF;PL
akselerasjon	akselerasjonane	N;DEF;PL
akselerasjon	akselerasjonar	N;NDEF;PL
akselerasjon	akselerasjonen	N;DEF;SG
aksent	aksentane	N;DEF;PL
aksent	aksentar	N;NDEF;PL
aksent	aksenten	N;DEF;SG
aksess	aksessane	N;DEF;PL
aksess	aksessar	N;NDEF;PL
aksess	aksessen	N;DEF;SG
aksjonær	aksjonærane	N;DEF;PL
aksjonær	aksjonærar	N;NDEF;PL
aksjonær	aksjonæren	N;DEF;SG
aktiv	aktive	N;DEF;SG+PL
aktiv	aktivt	ADJ;NEUT;SG
aktivitet	aktivitetane	N;DEF;PL
aktivitet	aktivitetar	N;NDEF;PL
aktivitet	aktiviteten	N;DEF;SG
aktsam	aktsam	ADJ;MASC+FEM
aktsam	aktsame	N;DEF;SG+PL
aktsam	aktsamt	ADJ;NEUT
aktuell	aktuelle	N;DEF;SG+PL
aktuell	aktuelt	ADJ;NEUT;SG
akupunktur	akupunkturen	N;DEF;SG
akustisk	akustisk	ADJ;NEUT;SG
akustisk	akustiske	N;DEF;SG+PL
alabast	alabasten	N;DEF;SG
ål	ålane	N;DEF;PL
ål	ålar	N;NDEF;PL
ål	ålen	N;DEF;SG
albanar	albanarane	N;DEF;PL
albanar	albanarar	N;NDEF;PL
albanar	albanaren	N;DEF;SG
albatross	albatrossane	N;DEF;PL
albatross	albatrossar	N;NDEF;PL
albatross	albatrossen	N;DEF;SG
albino	albinoane	N;DEF;PL
albino	albinoar	N;NDEF;PL
albino	albinoen	N;DEF;SG
aldehyd	aldehyda	N;DEF;PL
aldehyd	aldehydet	N;DEF;SG
aldehyd	aldehyd	N;NDEF;PL
alder	alderen	N;DEF;SG
alder	aldrane	N;DEF;PL
alder	aldrar	N;NDEF;PL
alfabet	alfabeta	N;DEF;PL
alfabet	alfabetet	N;DEF;SG
alfabet	alfabet	N;NDEF;PL
alfabetisk	alfabetisk	ADJ;NEUT;SG
alfabetisk	alfabetiske	N;DEF;SG+PL
alge	algane	N;DEF;PL
alge	algar	N;NDEF;PL
alge	algen	N;DEF;SG
